make,model,driveType
porsche,taycan,rwd
mercedes-benz,eqs,4wd
nissan,leaf,fwd
citroen,e-c4,fwd
hyundai,kona,fwd
polestar,2,4wd
peugeot,e-2008,fwd
bmw,ix3,rwd
kia,niro,fwd
volkswagen,id3,rwd
mercedes-benz,eqa,fwd
mercedes-benz,eqc,4wd
tesla,model 3,4wd
tesla,model 3,rwd
porsche,taycan,4wd
kia,e-soul,fwd
audi,e-tron,4wd
opel,zafira-e,fwd
opel,corsa-e,fwd
maxus,euniq,fwd
kia,ev6,rwd
volkswagen,id4,rwd
volkswagen,up!,fwd
ford,mustang mach-e,rwd
opel,mokka-e,fwd
audi,e-tron gt rs,4wd
volkswagen,id4,4wd
citroen,c4,fwd
hyundai,ioniq 5,rwd
fiat,500e,fwd
tesla,model y,4wd
opel,mokka,fwd
skoda,enyaq,rwd
skoda,citigo,fwd
audi,q4 e-tron,rwd
kia,e-niro,fwd
hyundai,ioniq 5,4wd
volvo,xc40,4wd
polestar,2,fwd
citroen,e-spacetourer,fwd
mercedes-benz,eqb,4wd
ford,mustang mach-e,4wd
dacia,spring,fwd
mercedes-benz,eqv,fwd
mercedes-benz,eqa,4wd
peugeot,e-208,fwd
volkswagen,id4,fwd
seat,mii electric,fwd
hyundai,ioniq electric,fwd
jaguar,i-pace,4wd
lexus,ux,fwd
audi,q4 e-tron,4wd
audi,e-tron gt,4wd
mini,cooper,fwd
tesla,model x,4wd
bmw,i3,rwd
ds,3,fwd
renault,zoe,fwd
mazda,mx-30,fwd
peugeot,e-traveller,fwd
bmw,ix,4wd
bmw,i3s,rwd
renault,twingo,rwd
hyundai,kona electric,fwd
volkswagen,e-up!,fwd
peugeot,208,fwd
volvo,c40,4wd
skoda,enyaq,4wd
opel,combo-e,fwd
volvo,c40,fwd
volvo,xc40,fwd
mercedes-benz,eqe,rwd
mercedes-benz,eqe,4wd
nissan,ariya,fwd
renault,megane,fwd
citroen,e-berlingo,fwd
volkswagen,id5,4wd
toyota,proace city verso ev,fwd
volkswagen,id5,rwd
mercedes-benz,eqs,rwd
kia,ev6,4wd
mercedes-benz,eqe,fwd
cupra,born,rwd
bmw,i4 m50,4wd
toyota,bz4x,4wd
volkswagen,id. buzz,rwd
bmw,i4,rwd
toyota,bz4x,fwd
toyota,proace verso ev,fwd
tesla,model s,4wd
bmw,ix1,4wd
audi,q8 e-tron,4wd
mercedes-benz,eqb,fwd
subaru,solterra,4wd
citroen,e-c4 x,fwd
hyundai,ioniq 6,rwd
hyundai,ioniq 6,4wd
bmw,i7,4wd
audi,q4 e-tron,fwd
mg,mg5,fwd
mg,zs,fwd
mg,mg4,rwd
bmw,ix m60,4wd
nissan,ariya,4wd
mercedes-benz,eqs suv,4wd
maxus,t90,rwd
ford,mustang,rwd
bmw,i4,4wd
maxus,mifa 9,fwd
mg,marvel r,rwd
byd,tang,4wd
byd,han,4wd
mg,mg5,rwd
muu merkki,muu malli,fwd
mg,marvel r,4wd
byd,atto3,fwd
tesla,model y,rwd
peugeot,e-308,fwd
volvo,xc40,rwd
muu merkki,muu malli,4wd
kia,ev9,4wd
volvo,c40,rwd
