,make,model,modelTypeName,color,driveType,price,totalOwners,kilometers,seats,power,batteryCapacity,electricRange,isSuv,metallicColor,airconditioning,parking_sensors,satellite_navigator,cruise_control_adaptive,parking_camera_simple_camera,seat_heaters,driving_assistant,alloy_wheels,electric_mirrors,lane_departure_warning_system,electrically_operated_tailgate,leather_upholstery,emergency_brake_assist,collision_avoidance_system,cruise_control_traditional,parking_assistant,tow_bar,electric_seats_with_memory,heated_steering_wheel,sunroof,sun_hatch_with_panorama,adaptive_headlights,sport_seats,fuel_battery_powered_heater,parking_camera_360-degree_camera,battery_preheating,electric_seats_without_memory,air_suspension,curve_lights,head_up_display,"sport_base,"
0,porsche,taycan,"Taycan sähköauto Heti toimitukseen!! rahoitus alkaen 599/kk
LEASING alk 1400/kk 36kk/60000km.",black,rwd,101880.0,1,2100.0,5,300.0,79.0,400.0,False,False,True,True,True,False,False,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
1,opel,zafira-e,"Life L Comfort 136 automaatti 50 **Täyssähkö, heti ajoon!**",other,fwd,47900.0,1,2500.0,5,100.0,0.0,,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,mercedes-benz,eqs,"580 4Matic ** Muistipenkit, Burmester, nelipyöräohjaus, Hyperscreen **",gray,4wd,125900.0,1,30000.0,5,385.0,108.4,702.0,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,False,False,False
3,nissan,leaf,e+ N-Connecta MY21 62 kWh *Isoakkunen Huippuvarusteltu*,black,fwd,35800.0,1,10000.0,5,160.0,62.0,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,citroen,e-c4,"Full Electric 136 Shine 50 kWh, KORKOTARJOUS 3,95%+ KULUT !   Kattoluukku / Hifi-paketti / Shine",blue,fwd,33800.0,1,17000.0,5,100.0,50.0,,False,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
5,hyundai,kona,electric 64 kWh 204 hv Comfort. Upea. Adaptive Cruise. Led. Navi. Nahat. P-kamera. Kats 1/2025.,white,fwd,27590.0,1,56000.0,5,,64.0,415.0,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False
6,citroen,e-c4,e-C4 Full Electric 136 Shine 50 kWh / Nahkaverhoilu / HUD-näyttö / LED-valot / Tutkat + kamera,beige,fwd,29700.0,1,34000.0,5,100.0,50.0,,False,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,polestar,2,"PILOT JA PLUS paketit 78Kw korko  4,99% AWD LONG RANGE DUAL  7tkm Lasik, 360-kamera. 20"". Harman, Adapt vak. 20"" alut",black,4wd,60780.0,1,7000.0,5,300.0,75.0,500.0,False,False,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True,False,True,True,True,True,False,False,False,True,False,False
8,peugeot,e-traveller,"50kwh Standard 9-Paikkainen # SYYSTARJOUS!!  Sis. Alv 24 % # Kaistavahti, 360-Kamera, HUD, Navi, , USB, Carplay #",black,fwd,39900.0,1,3000.0,9,,50.0,,False,False,True,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9,peugeot,e-2008,"ACTIVE PACK 50 kwh 136 Automaatti # Vaihtoehto uudelle!! Kaistavahti, Bluetooth, Parkkitutka, yms! ",orange,fwd,25790.0,1,13000.0,5,100.0,50.0,,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,bmw,ix3,G08 Charged #PANORAMA #NAHKAVERHOILU #MUISTI #DAP #OHJAUSAVUSTIN #NAVI,white,rwd,51800.0,1,17000.0,5,210.0,80.0,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
11,bmw,ix3,G08 Charged #Ajoavustinpaketti/pilot #Panorama #Nahat #Sähköpenkit #Digimittaristo #Koukku,white,rwd,49900.0,1,25500.0,5,210.0,80.0,458.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
12,kia,niro,Electric 64kWh / Paras varustetaso / Nahat / Ilm.istuimet / Kattoluukku / Keyless-go / Adapt.vakkari /  ym.ym.,white,fwd,39600.0,1,6000.0,5,150.0,68.0,,True,False,True,True,False,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
13,volkswagen,id3,"SuperRahoitusTarjous 1,95 % !! Pure Pertformance, Keyless Access , Adptiivi vak.nop.säädin, Kamera, Ratin lämmitin",gray,rwd,31950.0,1,4500.0,5,110.0,42.0,330.0,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
14,mercedes-benz,eqa,250 Progressive / Kuin uusi! KORKO 2.99%!! / Navigointi / Widescreen / 2x Renkaat / Urheiluistuimet / Kamera / LED,gray,fwd,51900.0,1,8900.0,5,,66.5,,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
15,mercedes-benz,eqc,400 4Matic,black,4wd,54800.0,1,14400.0,5,300.0,80.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,bmw,i3s,S 120Ah #pro navi#pikalataus#,gray,rwd,29950.0,1,16000.0,4,,0.0,,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,tesla,model 3,"Long-Range Dual Motor AWD Refresh Autopilot, Panoraama, Nahat, Lämpöpumppu, Ym..Huippuvarusteet, KYSY RAHOITUS TARJOUS!",white,4wd,44900.0,1,19000.0,5,350.0,78.75,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
18,tesla,model 3,Standard Range Plus ** 2x renkaat / Refresh / ILP**,white,rwd,39400.0,1,16000.0,5,211.0,54.5,448.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False
19,polestar,2,"PiLOT ja PLUS paketit, korko 4,99% Vetok!!, 78 Kw Long Range Dual Motor AWD, Adaptivak .Harman Kardon, Lasikat, Nav",white,4wd,62740.0,1,13800.0,5,300.0,75.0,470.0,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False
20,porsche,taycan,4S Cross Turismo - Yksityisleasing + alk.1580€kk / PASM / BOSE® / ACC / 360 / Panorama / PDSL+ /,black,4wd,109890.0,1,8500.0,5,420.0,79.2,,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,True,True,False,True,False,False,True,False,False,True
21,kia,e-soul,"64 kwh Supreme, toimintamatka yli 450km. Huippuvarusteet",gray,fwd,36900.0,1,7000.0,5,81.0,67.5,,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,audi,e-tron,55 quattro #Autopilot #HUD #Adapt.Vakkari #Virtuaali Ulkopeilit #360° #AppConnect #LED #Pimeänäkö,white,4wd,56800.0,1,17000.0,5,,95.0,436.0,True,False,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False
23,tesla,model 3,",Refresh, Eap, ilp, Chrome delete, 20""Uber turbine,2xrenkaat, Vaihto / Rahoitus. Jopa ilman käsirahaa!",gray,4wd,51900.0,1,25000.0,5,377.0,0.0,,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True
24,opel,zafira-e,Life L Comfort 136 A 75 kWh **P.KAMERA JA TUTKAT**MATKUSTAMON ILMASTOINTI**ALUT KESÄRENKAISSA**,black,fwd,56880.0,1,1500.0,9,,75.0,330.0,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,tesla,model 3,*Tummennukset*Ilp*,white,4wd,45990.0,1,48000.0,5,324.0,0.0,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
26,tesla,model 3,Long Range Dual AWD - Acceleration Boost 0-100km/h 3.9sek,white,4wd,45700.0,1,10000.0,5,324.0,78.75,,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
27,citroen,e-c4,"Full Electric 136 Shine 50 kWh Automaatti - Kiinteä korko 4,99% + kulut - NETTOTARJOUS!! Mm. LED-valot, Avaimeton, Nahka",gray,fwd,26999.0,1,16000.0,5,,50.0,310.0,False,True,True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,opel,corsa-e,"5-ov Edition 136 aut. // Täyssähköauto / LED / Kamera / Style Pack // *** Hedin Certified Takuu 12 kk, Syyskuun Rahoitus",orange,fwd,26990.0,1,9000.0,5,100.0,50.0,,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
29,maxus,euniq,KORKOTROMBI: 2.99%! 5 Grand Wagon Exclusive 7-hlö A,gray,fwd,39870.0,1,13000.0,7,130.0,53.0,356.0,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
