,id,vehicleType,make,model,modelType,color,colorType,driveType,accessories,price,totalOwners,kilometers,seats,doors,power,batteryCapacity,batteryGuaranteeMonth,batteryGuaranteeKm,electricRange,chargingType,chargingPower,maximumChargingPower
0,13716872,Car,Kia,EV6,,White,Metallic,Rear wheel,,52750.0,,23200.0,5.0,5.0,168.0,77.0,,,510.0,,168.0,
1,13717277,Car,Skoda,Enyaq,,Gray,Metallic,Rear wheel,"Central locking: Keyless,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Airbag,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Fog lights,Rain Sensor,Multiactive Steering Wheel,Audio input,Isofix-ready,Keyless start,Electrically operated tailgate,LED-headlights,Sport seats,Parking camera: Simple camera,Folding rear seats",53450.0,,29000.0,5.0,5.0,150.0,0.0,,,,,,
2,13719063,Car,Mercedes-Benz,EQE,,Gray,Not available,Four wheel,"Sun hatch: With panorama,Cruise control: Traditional,Electric mirrors,Sunroof,Air suspension,Head-Up display,Smartphone integration",103890.0,,10000.0,,4.0,350.0,90.0,,,533.0,,,
3,13719246,Car,Volvo,XC40,,Black,Nonmetallic,Four wheel,"Central locking: Remote control,Power windows,Tow bar,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Bluetooth,Cruise control: Adaptive,Electric seats: With memory,Seat heaters,Parking sensors,Satellite navigator,Driving assistant,Fog lights,Rain Sensor,Isofix-ready,Electrically operated tailgate,LED-headlights,Parking camera: Simple camera,Lane departure warning system,Collision avoidance system",53800.0,,27000.0,5.0,5.0,300.0,0.0,,,,,,
4,13719254,Car,Mercedes-Benz,EQE,,White,Metallic,Rear wheel,"Power steering,Power windows,Tow bar,Alloy wheels,Two sets of tyres,Airbag,Immobilizer,Alarm system,Traction control,On board computer,Seat heaters,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Sport base,Isofix-ready,Curve lights,Ski hatch,Plug-in charging for hybrid vehicles,Lane departure warning system,Smartphone integration,Adaptive headlights,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel",74790.0,,20000.0,5.0,4.0,215.0,100.0,,,639.0,,170.0,
5,13720133,Car,Opel,Mokka-e,,Red,Metallic,Front wheel,"Power steering,Central locking: Keyless,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Traction control,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Electric mirrors,Driving assistant,Fog lights,Rain Sensor,Multiactive Steering Wheel,Hands-free kit,Isofix-ready,Keyless start,LED-headlights,Parking camera: Simple camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats",27980.0,,18000.0,5.0,4.0,100.0,50.0,,,342.0,,100.0,
6,13720741,Car,Opel,Mokka-e,,White,Not available,Front wheel,"Central locking: Remote control,Power windows,Two sets of tyres,Airconditioning: Automatic,ABS brakes,Service manual: Paper,Traction control,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Electric mirrors,Rain Sensor,Multiactive Steering Wheel,Hands-free kit,Isofix-ready,Lane departure warning system",26950.0,,31000.0,5.0,4.0,4.0,0.0,,,,,,
7,13720957,Car,Nissan,Ariya,,White,Nonmetallic,Front wheel,,62900.0,,3500.0,5.0,,178.0,0.0,,,,,,
8,13720961,Car,BMW,i4,,White,Not available,Rear wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,MP3,Bluetooth,Immobilizer,Alarm system,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Hands-free kit,Isofix-ready,Auto hold,Keyless start,Ski hatch,Electrically operated tailgate,LED-headlights,Sport seats,Parking Assistant,Parking camera: Simple camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Emergency brake assist,Collision avoidance system,Folding rear seats",62900.0,,28000.0,5.0,5.0,340.0,84.0,,,590.0,"CCS,Type 2",,
9,13721573,Car,Renault,Megane,,Gray,Metallic,Front wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Service manual: Paper,Immobilizer,Traction control,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Isofix-ready,Keyless start,LED-headlights,Parking camera: 360-degree camera,Plug-in charging for hybrid vehicles,Tire-pressure monitoring system,Smartphone integration,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel",42890.0,,6000.0,5.0,5.0,,60.0,,,,,,
10,13721584,Car,Mercedes-Benz,EQB,,Gray,Metallic,Four wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Service manual: Paper,Immobilizer,Alarm system,Traction control,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Isofix-ready,Auto hold,Keyless start,Ski hatch,Electrically operated tailgate,LED-headlights,Sport seats,Parking Assistant,Parking camera: 360-degree camera,Plug-in charging for hybrid vehicles,Tire-pressure monitoring system,Traffic sign recognition,Smartphone integration,Blind spot sensor,Folding rear seats",59890.0,,15000.0,5.0,5.0,,66.0,,,,,,
11,13721625,Car,Volkswagen,ID5,,Other,Nonmetallic,Four wheel,"Alloy wheels,Airconditioning: Automatic,USB,Sun hatch: With panorama,Cruise control: Adaptive,Parking sensors,Satellite navigator,Rain Sensor,Multiactive Steering Wheel,Heated windshield,Parking Assistant,Parking camera: Simple camera",61900.0,,26000.0,5.0,,220.0,0.0,,,,,,
12,13721665,Car,Tesla,Model Y,,White,Metallic,Four wheel,"Power steering,Central locking: Keyless,Power windows,Alloy wheels,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Immobilizer,Traction control,Cruise control: Adaptive,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Sunroof,Isofix-ready,Keyless start,Electrically operated tailgate,LED-headlights,Parking camera: 360-degree camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats,Battery preheating",51990.0,,28000.0,5.0,5.0,258.0,79.0,,,,CCS,250.0,
13,13721833,Car,Mercedes-Benz,EQS,,White,Not available,Rear wheel,"Tow bar,Leather upholstery,Cruise control: Traditional,Electric mirrors,Multiactive Steering Wheel,Sunroof,Air suspension,Smartphone integration",81790.0,,67000.0,5.0,4.0,215.0,90.56,,,626.0,CCS,170.0,
14,13722368,Car,Peugeot,e-2008,,Orange,Metallic,Front wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Traction control,Cruise control: Traditional,Fuel / battery powered heater,On board computer,Seat heaters,Parking sensors,Electric mirrors,Driving assistant,Auto hold,Keyless start,Ski hatch,LED-headlights,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Folding rear seats",26700.0,1.0,18870.0,5.0,4.0,136.0,50.0,96.0,160000.0,320.0,"Type 2,CCS,Schuko",100.0,100.0
15,13722447,Car,Toyota,bZ4X,,Other,Metallic,Four wheel,"Power steering,Central locking: Remote control,Power windows,Airconditioning: Automatic,Leather upholstery,Airbag,Immobilizer,Cruise control: Traditional,Electric seats: Without memory,Parking sensors,Satellite navigator,Driving assistant,Fog lights,Rain Sensor,Hands-free kit,Isofix-ready,Auto hold,Keyless start,Heated windshield,LED-headlights,Parking camera: Simple camera,Lane departure warning system,Smartphone integration,Emergency brake assist,Folding rear seats",52900.0,,6100.0,5.0,4.0,160.0,0.0,,,,,,
